"Type";"Title";"Group";"Publish Date";"Status";"Description";"pdf"
"ECC Decisions";"ERC/DEC/(96)17";"";"1996-11-01";"Withdrawn";"ERC Decision of 1 November 1996 on the adoption of approval regulations for radio equipment to be used for wide band data transmission operating in the frequency range 2.4 GHz to 2.4835 GHz and using spread spectrum modulation techniques based on the European Telecom¬munications Standard (ETS) 300 328";"http://docdb.cept.org/download/2310"
"ECC Decisions";"ERC/DEC/(96)16";"";"1996-11-01";"Withdrawn";"ERC Decision of 1 November 1996 on the adoption of approval regulations for radio equipment to be used for wide band audio links in the frequency range 25 MHz to 3 GHz based on the European Telecommunications Standard (ETS) 300 454";"http://docdb.cept.org/download/2311"
"ECC Decisions";"ERC/DEC/(96)15";"";"1996-11-01";"Withdrawn";"ERC Decision of 1 November 1996 on the adoption of approval regulations for radio equipment to be used for wireless microphones in the 25 MHz to 3 GHz frequency range to be used in the mobile service based on the Interim European Telecommunications Standard (I-ETS) 300 422";"http://docdb.cept.org/download/2312"
"ECC Decisions";"ERC/DEC/(96)14";"";"1996-11-01";"Withdrawn";"ERC Decision of 1 November 1996 on the adoption of approval regulations for radio equipment to be used in the land mobile service for the transmission of data (and speech) and using an integral antenna based on the European Telecommunications Standard (ETS) 300 390";"http://docdb.cept.org/download/2313"
"ECC Decisions";"ERC/DEC/(96)13";"";"1996-11-01";"Withdrawn";"ERC Decision of 1 November 1996 on the adoption of approval regulations for very high frequency (VHF), frequency modulated, sound broadcasting transmitters based on the European Telecommunications Standard (ETS) 300 384";"http://docdb.cept.org/download/2314"
"ECC Decisions";"ERC/DEC/(96)12";"";"1996-11-01";"Withdrawn";"ERC Decision of 1 November 1996 on the adoption of approval regulations for radio equipment to be used in the land mobile service using an integral antenna transmitting signals to initiate a specific response in the receiver based on the European Telecommunications Standard (ETS) 300 341";"http://docdb.cept.org/download/2315"
"ECC Decisions";"ERC/DEC/(96)11";"";"1996-11-01";"Withdrawn";"ERC Decision of 1 November 1996 on the adoption of approval regulations for radio equipment to be used in the land mobile service using an integral antenna intended primarily for analogue speech based on the European Telecommunications Standard (ETS) 300 296";"http://docdb.cept.org/download/2316"
"ECC Decisions";"ERC/DEC/(96)10";"";"1996-11-01";"Withdrawn";"ERC Decision of 1 November 1996 on the adoption of approval regulations for radio equipment to be used in the land mobile service for transmitting signals to initiate a specific response in the receiver based on the Interim European Telecommunications Standard (I-ETS) 300 219";"http://docdb.cept.org/download/2317"
"ECC Decisions";"ERC/DEC/(96)09";"";"1996-11-01";"Withdrawn";"ERC Decision of 1 November 1996 on the adoption of approval regulations for equipment to be used for radio relay systems operating in the fixed service for the transmission of digital signals and analogue video signals operating between 21.2 GHz and 23.6 GHz based on the European Telecommunications Standard (ETS) 300 198";"http://docdb.cept.org/download/2318"
"ECC Decisions";"ERC/DEC/(96)08";"";"1996-11-01";"Withdrawn";"ERC Decision of 1 November 1996 on the adoption of approval regulations for equipment to be used for radio relay systems operating in the fixed service for the transmission of digital signals and analogue video signals operating between 37 GHz and 39.5 GHz, based on the European Telecommunications Standard (ETS) 300 197";"http://docdb.cept.org/download/2319"
"ECC Decisions";"ERC/DEC/(96)07";"";"1996-11-01";"Withdrawn";"ERC Decision of 1 November 1996 on the adoption of approval regulations for radio equipment to be used in the land mobile service intended for the transmission of data (and speech) and having an antenna connector, based on the European Telecommunications Standard (ETS) 300 113";"http://docdb.cept.org/download/2320"
"ECC Decisions";"ERC/DEC/(96)06";"WGFM";"1996-03-07";"Active";"ERC Decision of 7 March 1996 on the withdrawal of the <a href=""https://www.ecodocdb.dk/document/715"">ERC Decision (93)01</a> ""Decision on the frequency bands to be designated for the co-ordinated introduction of Digital Short-Range Radio (DSRR)""

";"http://docdb.cept.org/download/2321"
"ECC Decisions";"ERC/DEC/(96)05";"";"1996-03-07";"Withdrawn";"ERC Decision of 7 March 1996 on the harmonised frequency band to be designated for the introduction of the Multipoint Video Distribution Systems (MVDS)";"http://docdb.cept.org/download/2323"
"ECC Decisions";"ERC/DEC/(96)04";"";"1996-03-07";"Withdrawn";"ERC Decision of 7 March 1996 on the frequency bands for the introduction of the Trans European Trunked Radio System (TETRA)";"http://docdb.cept.org/download/2324"
"ECC Decisions";"ERC/DEC/(96)03";"";"1996-03-07";"Withdrawn";"ERC Decision of 7 March 1996 on the harmonised frequency band to be designated for the introduction of High Performance Radio Local Area Networks (HIPERLANs)";"http://docdb.cept.org/download/2325"
"ECC Decisions";"ERC/DEC/(96)02";"";"1996-03-07";"Withdrawn";"ERC Decision of 7 March 1996 on the harmonised frequency band to be designated for CEPT PR 27 radio equipment and on the implementation of the technical standard for this equipment";"http://docdb.cept.org/download/2326"
"ECC Decisions";"ERC/DEC/(96)01";"";"1996-03-07";"Withdrawn";"ERC Decision of 7 March 1996 on the harmonised frequency band to be designated for the introduction of the Digital Land Mobile System for the Emergency Services";"http://docdb.cept.org/download/2327"
"ECC Decisions";"ERC/DEC/(95)03";"ECC PT1";"1995-12-01";"Active";"ERC Decision of 1 December 1995 on the frequency bands to be designated for the introduction of DCS 1800";"http://docdb.cept.org/download/2328"
"ECC Decisions";"ERC/DEC/(95)02";"";"1995-12-01";"Withdrawn";"ERC Decision of 1 December 1995 on the adoption of national type approval regulations for equipment to be used in the land mobile service using angle modulation based on the European Telecommunications Standard (ETS) 300 086";"http://docdb.cept.org/download/2330"
"ECC Decisions";"ERC/DEC/(95)01";"WGFM";"2008-03-14";"Withdrawn";"ERC Decision 1 December 1995 on the free circulation and use of certain radio equipment in CEPT member countries.

Latest amended on 14 March 2008 

";"http://docdb.cept.org/download/2331"
"ECC Decisions";"ERC/DEC/(94)03";"WGFM";"1994-10-24";"Active";"ERC Decision of 24 October 1994 on the frequency band to be designated for the coordinated introduction of the Digital European Cordless Telecommunications system";"http://docdb.cept.org/download/2335"
"ECC Decisions";"ERC/DEC/(94)02";"";"1994-10-24";"Withdrawn";"ERC Decision of 24 October 1994 on the frequency band to be designated for the coordinated introduction of the European Radio Messaging System (ERMES)";"http://docdb.cept.org/download/2337"
"ECC Decisions";"ERC/DEC/(94)01";"ECC PT1";"1994-10-24";"Active";"ERC Decision of 24 October 1994 on the frequency bands to be designated for the coordinated introduction of the GSM digital pan-European communications system";"http://docdb.cept.org/download/2339"
"ECC Decisions";"ERC/DEC/(93)01";"";"1993-03-12";"Withdrawn";"ERC Decision of 12 March 1993 on frequency bands to be designated for the coordinated introduction of Digital Short-Range Radio (DSRR)";"http://docdb.cept.org/download/2340"
"ECC Decisions";"ERC/DEC/(92)02";"";"1992-10-22";"Withdrawn";"ERC Decision of 22 October 1992 on the frequency bands to be designated for the coordinated introduction of Road Transport Telematic Systems";"http://docdb.cept.org/download/2341"
"ECC Decisions";"ERC/DEC/(92)01";"";"1992-10-22";"Withdrawn";"ERC Decision of 22 October 1992 on the frequency bands to be designated for the coordinated introduction of the Terrestrial Flight Telecommunications System";"http://docdb.cept.org/download/2342"
"ECC Decisions";"ERC/DEC/(01)25";"";"2001-03-12";"Withdrawn";"ERC Decision of 12 March 2001 on Exemption from Individual Licensing of Thuraya mobile user terminals
<br>ERC/DEC/(01)25 was withdrawn by ECC Decision (07)05 on 1 June 2014
Please note that ECC Decision (07)05 was withdrawn by ECC Decision (12)01 with latest amendment on 18 November 2016
";"http://docdb.cept.org/download/2343"
"ECC Decisions";"ERC/DEC/(01)24";"";"2001-03-12";"Withdrawn";"ERC Decision of 12 March 2001 on free circulation and use of Thuraya mobile user terminals in CEPT member countries enlarging the field of application of ERC/DEC/(95)01<br><br>ERC/DEC/(01)24 was withdrawn by ECC Decision (07)04 on 1 June 2014
Please note that ECC Decision (07)04 was withdrawn by ECC Decision (12)01 with latest amendment on 18 November 2016
";"http://docdb.cept.org/download/2344"
"ECC Decisions";"ERC/DEC/(01)23";"";"2001-03-12";"Withdrawn";"ERC Decision of 12 March 2001 on free circulation and use of SpaceChecker S-SMS mobile user terminals in CEPT member countries enlarging the field of application of ERC/DEC/(95)01<br><br>ERC/DEC/(01)23 was withdrawn by ECC Decision (07)04 on 1 June 2014
Please note that ECC Decision (07)04 was withdrawn by ECC Decision (12)01 with latest amendment on 18 November 2016
";"http://docdb.cept.org/download/2345"
"ECC Decisions";"ERC/DEC/(01)22";"";"2001-03-12";"Withdrawn";"ERC Decision of 12 March 2001 on Exemption from Individual Licensing of SpaceChecker S-SMS Mobile User Terminals
<br>ERC/DEC/(01)22 was withdrawn by ECC Decision (07)05 on 1 June 2014. Please note that ECC Decision (07)05 was withdrawn by ECC Decision (12)01 with latest amendment on 18 November 2016
";"http://docdb.cept.org/download/2346"
"ECC Decisions";"ERC/DEC/(01)21";"";"2001-03-12";"Withdrawn";"ERC Decision of 12 March 2001 on harmonised frequency band to be designated for the Direct Mode Operation (DMO) of the Digital Land Mobile Systems";"http://docdb.cept.org/download/2347"
"ECC Decisions";"ERC/DEC/(01)20";"";"2001-03-12";"Withdrawn";"ERC Decision of 12 March 2001 on harmonised frequency bands to be designated for Air-Ground-Air operation (AGA) of the Digital Land Mobile Systems for the Emergency Services";"http://docdb.cept.org/download/2348"
"ECC Decisions";"ERC/DEC/(01)19";"WGFM";"2001-03-12";"Active";"ERC Decision of 12 March 2001 on harmonised frequency bands to be designated for the Direct Mode Operation (DMO) of the Digital Land Mobile Systems for the Emergency Services";"http://docdb.cept.org/download/2349"
"ECC Decisions";"ERC/DEC/(01)18";"";"2001-03-12";"Withdrawn";"ERC Decision of 12 March 2001 on harmonised frequencies, technical characteristics and exemption from individual licensing of Short Range Devices used for Wireless Audio Applications operating in the frequency band 863 - 865 MHz";"http://docdb.cept.org/download/2351"
"ECC Decisions";"ERC/DEC/(01)17";"SRDMG";"2017-11-17";"Active";"ERC Decision of 12 March 2001 on harmonised frequencies, technical characteristics and exemption from individual licensing of Ultra Low Power Active Medical Implant (ULP-AMI) communication systems operating in the frequency band 401 - 406 MHz on a secondary basis

amended on 9 December 2011 and updated on 17 November 2017  ";"http://docdb.cept.org/download/2352"
"ECC Decisions";"ERC/DEC/(01)16";"";"2001-01-12";"Withdrawn";"ERC Decision on 12 March 2001 on harmonised frequencies, technical characteristics and exemption from individual licensing of Short Range Devices used for inductive applications operating in the frequency band 26.957 - 27.283 MHz";"http://docdb.cept.org/download/2354"
"ECC Decisions";"ERC/DEC/(01)15";"";"2001-03-12";"Withdrawn";"ERC Decision of 12 March 2001 on harmonised frequencies, technical characteristics and exemption from individual licensing of Short Range Devices used for inductive applications operating in the frequency band 7400 - 8800 kHz";"http://docdb.cept.org/download/2355"
"ECC Decisions";"ERC/DEC/(01)14";"";"2001-03-12";"Withdrawn";"ERC Decision of 12 March 2001 on harmonised frequencies, technical characteristics and exemption from individual licensing of Short Range Devices used for inductive applications operating in the frequency bands 6765 - 6795 kHz, 13.553 - 13.567 MHz";"http://docdb.cept.org/download/2356"
"ECC Decisions";"ERC/DEC/(01)13";"";"2001-03-12";"Withdrawn";"ERC Decision of 12 March 2001 on harmonised frequencies, technical characteristics and exemption from individual licensing of Short Range Devices used for inductive applications operating in the frequency bands 9 - 59.750 kHz, 59.750 - 60.250 kHz, 60.250 - 70 kHz, 70 - 119 kHz,  119 - 135 kHz";"http://docdb.cept.org/download/2357"
"ECC Decisions";"ERC/DEC/(01)12";"SRDMG";"2017-11-17";"Active";"ERC Decision of 12 March 2001 on harmonised frequencies, technical characteristics and exemption from individual licensing of Short Range Devices used for Model control operating in the frequencies 40.665, 40.675, 40.685 and 40.695 MHz. 

Updated on 17 November 2017. ";"http://docdb.cept.org/download/2358"
"ECC Decisions";"ERC/DEC/(01)11";"SRDMG";"2017-11-17";"Active";"ERC Decision of 12 March 2001 on harmonised frequencies, technical characteristics and exemption from individual licensing of Short Range Devices used for Flying Model control operating in the frequency band 34.995-35.225 MHz. 

Updated on 17 November 2017.
";"http://docdb.cept.org/download/2361"
"ECC Decisions";"ERC/DEC/(01)10";"";"2001-03-12";"Withdrawn";"ERC Decision of 12 March 2001 on harmonised frequencies, technical characteristics and exemption from individual licensing of Short Range Devices used for Model control operating in the frequencies 26.995, 27.045, 27.095, 27.145 and 27.195 MHz";"http://docdb.cept.org/download/2362"
"ECC Decisions";"ERC/DEC/(01)09";"";"2001-03-12";"Withdrawn";"ERC Decision of 12 March 2001 on harmonised frequencies, technical characteristics and exemption from individual licensing of Short Range Devices used for Alarms operating in the frequency bands 868.60 - 868.7 MHz, 869.25 - 869.3 MHz, 869.65 - 869.7 MHz";"http://docdb.cept.org/download/2363"
"ECC Decisions";"ERC/DEC/(01)08";"SRDMG";"2001-04-01";"Withdrawn";"ERC Decision of 12 March 2001 on harmonised frequencies, technical characteristics and exemption from individual licensing of Short Range Devices used for Movement Detection and Alert operating in the frequency band 2400 - 2483.5 MHz

";"http://docdb.cept.org/download/2364"
"ECC Decisions";"ERC/DEC/(01)07";"";"2001-03-12";"Withdrawn";"ERC Decision of 12 March 2001 on harmonised frequencies, technical characteristics and exemption from individual licensing of Short Range Devices used for Radio Local Area Networks (RLANs) operating in the frequency band 2400 - 2483.5 MHz";"http://docdb.cept.org/download/2366"
"ECC Decisions";"ERC/DEC/(01)06";"";"2001-03-12";"Withdrawn";"ERC Decision of 12 March 2001 on harmonised frequencies, technical characteristics and exemption from individual licensing of Non-specific Short Range Devices operating in the frequency band 5725 - 5875 MHz";"http://docdb.cept.org/download/2367"
"ECC Decisions";"ERC/DEC/(01)05";"";"2001-03-12";"Withdrawn";"ERC Decision of 12 March 2001 on harmonised frequencies, technical characteristics and exemption from individual licensing of Non-specific Short Range Devices operating in the frequency band 2400 - 2483.5 MHz";"http://docdb.cept.org/download/2368"
"ECC Decisions";"ERC/DEC/(01)04";"";"2001-03-12";"Withdrawn";"ERC Decision of 12 March 2001 on harmonised frequencies, technical characteristics and exemption from individual licensing of Non-specific Short Range Devices operating in the frequency bands 868.0 - 868.6 MHz, 868.7 - 869.2 MHz, 869.4 - 869.65 MHz, 869.7 - 870.0 MHz";"http://docdb.cept.org/download/2369"
"ECC Decisions";"ERC/DEC/(01)03";"";"2001-03-12";"Withdrawn";"ERC Decision of 12 March 2001 on harmonised frequencies, technical characteristics and exemption from individual licensing of Non-specific Short Range Devices operating in the frequency band 40.660 - 40.700 MHz";"http://docdb.cept.org/download/2370"
"ECC Decisions";"ERC/DEC/(01)02";"";"2001-03-12";"Withdrawn";"ERC Decision of 12 March 2001 on harmonised frequencies, technical characteristics and exemption from individual licensing of Non-specific Short Range Devices operating in the frequency band 26.957 - 27.283 MHz";"http://docdb.cept.org/download/2371"
"ECC Decisions";"ERC/DEC/(01)01";"";"2001-03-12";"Withdrawn";"ERC Decision of 12 March 2001 on harmonised frequencies, technical characteristics and exemption from individual licensing of Non-specific Short Range Devices operating in the frequency bands 6765 - 6795 kHz and 13.553 - 13.567 MHz";"http://docdb.cept.org/download/2372"
"ECC Decisions";"ERC/DEC/(00)09";"";"2000-10-19";"Withdrawn";"ERC Decision of 19 October 2000 on the use of the band 27.5 – 29.5 GHz by the fixed service and uncoordinated Earth stations of the fixed-satellite services (Earth-to-space)";"http://docdb.cept.org/download/2373"
"ECC Decisions";"ERC/DEC/(00)08";"FM44";"2000-10-19";"Active";"ERC Decision of 19 October 2000 on the use of the band 10.7 - 12.5 GHz by the fixed service and Earth stations of the broadcasting-satellite and fixed-satellite Service (space-to-Earth)";"http://docdb.cept.org/download/2374"
"ECC Decisions";"ERC/DEC/(00)07";"FM44";"2016-03-04";"Active";"ERC Decision of 19 October 2000 on the shared use of the band 17.7-19.7 GHz by the fixed service and Earth stations of the fixed-satellite service (space-to-Earth).

Amended on 4 March 2016. 
";"http://docdb.cept.org/download/2376"
"ECC Decisions";"ERC/DEC/(00)06";"";"2000-10-19";"Withdrawn";"ERC Decision of 19 October  2000 on the licensing and global circulation and use of IMT-2000 terrestrial and satellite mobile terminals";"http://docdb.cept.org/download/2379"
"ECC Decisions";"ERC/DEC/(00)05";"";"2000-03-27";"Withdrawn";"ERC Decision of 27 March 2000 on Exemption from Individual Licensing of Very Small Aperture Terminals (VSAT) operating in the frequency bands 14.0 - 14.25 GHz Earth-to-space and 12.5 - 12.75 GHz space-to-Earth
<br>Please note that ERC/DEC/(00)03, ERC/DEC/(00)04 and ERC/DEC/(00)05 are replaced by ECC/DEC/(06)02 and ECC/DEC/(06)03 on 30 March 2006

ERC/DEC/(00)05 was withdrawn by ECC Decision (08)06 on 27 June 2008 ";"http://docdb.cept.org/download/2380"
"ECC Decisions";"ERC/DEC/(00)04";"";"2000-03-27";"Withdrawn";"ERC Decision of 27 March 2000 on Exemption from Individual Licensing of Satellite User Terminals (SUTs) operating within the Frequency Bands 19.70 - 20.20 GHz space-to-Earth and 29.50 - 30.00 GHz Earth-to-space
<br>Please note that ERC/DEC/(00)03, ERC/DEC/(00)04 and ERC/DEC/(00)05 are replaced by ECC/DEC/(06)02 and ECC/DEC/(06)03 on 30 March 2006

ERC/DEC/(00)04 was withdrawn by ECC Decision (08)06 on 27 June 2008 ";"http://docdb.cept.org/download/2381"
"ECC Decisions";"ERC/DEC/(00)03";"";"2000-03-27";"Withdrawn";"ERC Decision of 27 March 2000 on Exemption from Individual Licensing of Satellite Interactive Terminals (SITs) operating within the Frequency Bands 10.70 - 12.75 GHz space-to-Earth and 29.50 - 30.00 GHz Earth-to-Space
<br>Please note that ERC/DEC/(00)03, ERC/DEC/(00)04 and ERC/DEC/(00)05 are replaced by ECC/DEC/(06)02 and ECC/DEC/(06)03 on 30 March 2006
<br>ERC/DEC/(00)03 was withdrawn by ECC Decision (08)06 on 27 June 2008 
";"http://docdb.cept.org/download/2382"
"ECC Decisions";"ERC/DEC/(00)02";"FM44";"2000-03-27";"Active";"ERC Decision of 27 March 2000 on the use of the band 37.5 - 40.5 GHz by the fixed service and Earth stations of the fixed - satellite service (space-to-Earth)";"http://docdb.cept.org/download/2383"
"ECC Decisions";"ERC/DEC/(00)01";"";"2000-03-28";"Withdrawn";"ERC Decision of 28 March 2000 extending ERC/DEC/(97)07 on the frequency bands for the introduction of terrestrial Unversal Mobile Telecommunications System (UMTS)";"http://docdb.cept.org/download/2385"
"ECC Recommendations";"ECC/REC/(21)02";"ECC PT1";"2021-11-05";"Active";"ECC Recommendation of 5 November 2021 on Guidance on the application of the least restrictive technical conditions (LRTC) in ECC Decision (11)06 (amended 26 October 2018) to ensure protection of the military radiolocation systems operating below 3400 MHz from indoor non-AAS small cells operating in the band 3400-3800 MHz
";"http://docdb.cept.org/download/3533"
"ECC Recommendations";"ECC/REC/(21)01";"WGNaN";"2021-11-24";"Active";"ECC Recommendation of 24 November 2021 on TETRA ITSI numbering resource and its relationship to E.212 IMSI numbering resource";"http://docdb.cept.org/download/3550"
"ECC Recommendations";"ECC/REC/(20)03";"ECC PT1";"2020-10-23";"Active";"ECC Recommendation of 23 October 2020 on frame structures to facilitate cross-border coordination of TDD MFCN in the frequency band 3400-3800 MHz ";"http://docdb.cept.org/download/1738"
"ECC Recommendations";"ECC/REC/(20)02";"FM44";"2020-10-23";"Active";"ECC Recommendation of 23 October 2020 on method for calculating high intensity radiated field level, from high e.i.r.p. circular aperture fixed earth stations located close to an airfield";"http://docdb.cept.org/download/1740"
"ECC Recommendations";"ECC/REC/(20)01";"ECC PT1";"2020-03-06";"Active";"ECC Recommendation of 6 March 2020 on guidelines to support the introduction of 5G while ensuring, in a proportionate way, the use of existing and planned FSS transmitting earth stations in the frequency band 24.65-25.25 GHz and the possibility for future deployment of these earth stations ";"http://docdb.cept.org/download/1741"
"ECC Recommendations";"ECC/REC/(19)03";"WGNaN";"2019-11-21";"Active";"ECC Recommendation of 21 November 2019 on measures for increasing Trust in Calling Line Identification and Originating Identification";"http://docdb.cept.org/download/1744"
"ECC Recommendations";"ECC/REC/(19)02";"SE21";"2019-05-29";"Active";"ECC Recommendation of 29 May 2019 on guidance and methodologies when considering typical unwanted emissions in sharing/compatibility studies";"http://docdb.cept.org/download/1746"
"ECC Recommendations";"ECC/REC/(19)01";"ECC PT1";"2019-03-08";"Active";"ECC Recommendation of 8 March 2019 on technical toolkit to support the introduction of 5G while ensuring, in a proportionate way, the use of existing and planned EESS/SRS receiving earth stations in the 26 GHz band and the possibility for future deployment of these earth stations";"http://docdb.cept.org/download/1748"
"ECC Recommendations";"ECC/REC/(18)02";"SE19";"2018-09-14";"Active";"ECC Recommendation of 14 September 2018 on radio frequency channel/block arrangements for Fixed Service systems operating in the bands 92-94 GHz, 94.1-100 GHz, 102-109.5 GHz and 111.8-114.25 GHz";"http://docdb.cept.org/download/1750"
"ECC Recommendations";"ECC/REC/(18)01";"SE19";"2018-04-27";"Active";"ECC Recommendation of 27 April 2018 on radio frequency channel/block arrangements for Fixed Service systems operating in the bands 130-134 GHz, 141-148.5 GHz, 151.5-164 GHz and 167-174.8 GHz";"http://docdb.cept.org/download/1751"
"ECC Recommendations";"ECC/REC/(17)04";"WGNaN";"2020-12-16";"Active";"ECC Recommendation of 22 November 2017 on numbering for eCall.

Amended on 16 December 2020.";"http://docdb.cept.org/download/1754"
"ECC Recommendations";"ECC/REC/(17)03";"WGFM";"2017-05-19";"Active";"ECC Recommendation of 19 May 2017 on guidance for the harmonised use and coordination of Maritime Broadband Radio (MBR) systems on board ships and off-shore platforms operating within the frequency bands 5852-5872 MHz and 5880-5900 MHz";"http://docdb.cept.org/download/1756"
"ECC Recommendations";"ECC/REC/(17)02";"WGNaN";"2017-05-31";"Active";"ECC Recommendation of 31 May 2017 on harmonised European Management and Assignment Principles for Geographic E.212 Mobile Network Codes (MNCs)";"http://docdb.cept.org/download/1758"
"ECC Recommendations";"ECC/REC/(17)01";"FM22";"2017-02-03";"Active";"ECC Recommendation of 3 February 2017 on measurement uncertainty assessment for field measurements";"http://docdb.cept.org/download/1760"
"ECC Recommendations";"ECC/REC/(16)04";"FM22";"2016-10-17";"Withdrawn";"ECC Recommendation of 17 October 2016 on determination of the radiated power from FM sound broadcasting stations through field strength measurements in the frequency band 87.5 to 108 MHz";"http://docdb.cept.org/download/1763"
"ECC Recommendations";"ECC/REC/(16)03";"WGFM";"2016-10-17";"Active";"ECC Recommendation of 17 October 2016 on cross-border coordination for Broadband Public Protection and Disaster Relief (BB-PPDR) systems in the frequency band 698 to 791 MHz";"http://docdb.cept.org/download/1765"
"ECC Recommendations";"ECC/REC/(16)02";"WGNaN";"2016-04-28";"Active";"ECC Recommendation of 28 April 2016 on extra-Territorial Use of E.164 Numbers - High level principles of assignment and use
";"http://docdb.cept.org/download/1767"
"ECC Recommendations";"ECC/REC/(16)01";"WGNaN";"2016-04-28";"Active";"ECC Recommendation of 28 April 2016 on 3rd party access to Number Portability Data (NP Data)";"http://docdb.cept.org/download/1769"
"ECC Recommendations";"ECC/REC/(15)04";"WGFM";"2015-07-03";"Active";"ECC Recommendation of 3 July 2015 on Guidance for the implementation of a sharing framework between MFCN and PMSE within 2300-2400 MHz";"http://docdb.cept.org/download/1771"
"ECC Recommendations";"ECC/REC/(15)03";"WGNaN";"2018-11-28";"Active";"ECC Recommendation of 23 April 2015 on provision of Comparable Information on Fixed Retail Internet Access Service Quality.

Amended on 28 November 2018.";"http://docdb.cept.org/download/1773"
"ECC Recommendations";"ECC/REC/(15)02";"WGNaN";"2020-12-16";"Active";"ECC Recommendation of 23 April 2015 on Guidelines for Major changes to National Numbering and Dialling Plans concerning E.164 Numbers.

Amended on 16 December 2020.";"http://docdb.cept.org/download/1775"
"ECC Recommendations";"ECC/REC/(15)01";"ECC PT1";"2020-02-14";"Active";"ECC Recommendation of 13 February 2015 on cross-border coordination for mobile/fixed communications networks (MFCN) in the frequency bands: 694-790 MHz, 1452-1492 MHz, 3400-3600 MHz and 3600-3800 MHz.

Amended on 5 February 2016 and 14 February 2020.";"http://docdb.cept.org/download/1776"
"ECC Recommendations";"ECC/REC/(14)06";"SE19";"2015-05-08";"Active";"ECC Recommendation of 19 September 2014 on implementation of Fixed Service Point-to-Point narrow channels (3.5 MHz, 1.75 MHz, 0.5 MHz, 0.25 MHz, 0.025 MHz) in the guard bands and center gaps of the lower 6 GHz (5925 to 6425 MHz) and upper 6 GHz (6425 to 7125 MHz) bands

";"http://docdb.cept.org/download/1779"
"ECC Recommendations";"ECC/REC/(14)05";"RAFG";"2014-10-14";"Active";"ECC Recommendation of 14 October 2014 on amateur Radio Licence Examinations for Persons with Disabilities";"http://docdb.cept.org/download/1781"
"ECC Recommendations";"ECC/REC/(14)04";"ECC PT1";"2014-06-25";"Active";"ECC Recommendation of 25 June 2014 on cross-border coordination for mobile/fixed communications networks (MFCN) and between MFCN and other systems in the frequency band 2300-2400 MHz";"http://docdb.cept.org/download/1783"
"ECC Recommendations";"ECC/REC/(14)03";"WGNaN";"2014-04-10";"Active";"ECC Recommendation of 10 April 2014 on charging Principles for National and International Freephone Numbers";"http://docdb.cept.org/download/1785"
"ECC Recommendations";"ECC/REC/(14)02";"WGFM";"2014-02-11";"Active";"ECC Recommendation of 11 February 2014 on protection of fixed monitoring stations against interference from nearby or strong transmitters";"http://docdb.cept.org/download/1787"
"ECC Recommendations";"ECC/REC/(14)01";"SE19";"2018-09-14";"Active";"ECC Recommendation of 31 January 2014 on radio frequency channel arrangements for fixed service systems operating in the band 92-95 GHz.

Latest amended on 14 September 2018.

";"http://docdb.cept.org/download/1788"
"ECC Recommendations";"ECC/REC/(12)04";"WGNaN";"2012-12-05";"Active";"ECC Recommendation of 5 December 2012 on numbering for Nomadic Voice Services";"http://docdb.cept.org/download/1791"
"ECC Recommendations";"ECC/REC/(12)03";"FM22";"2019-02-08";"Active";"ECC Recommendation of 18 February 2013 on determination of the radiated power through field strength measurements in the frequency range from 400 MHz to 6000 MHz.

Amended on 8 February 2019.";"http://docdb.cept.org/download/1792"
"ECC Recommendations";"ECC/REC/(12)02";"WGNaN";"2012-05-22";"Active";"ECC Recommendation of 22 May 2012 on number Portability - Best Pratices";"http://docdb.cept.org/download/1795"
"ECC Recommendations";"ECC/REC/(11)10";"SRDMG";"2011-10-21";"Active";"ECC Recommendation of 21 October 2011 on location tracking application for emergency and disaster situations

";"http://docdb.cept.org/download/1797"
"ECC Recommendations";"ECC/REC/(11)09";"SRDMG";"2015-05-22";"Active";"ECC Recommendation of 21 October 2011 on UWB Location Tracking Systems TYPE 2 (LT2).

Amended on 22 May 2015.
";"http://docdb.cept.org/download/1800"
"ECC Recommendations";"ECC/REC/(11)08";"FM44";"2011-11-01";"Active";"ECC Recommendation of 1 November 2011 on framework for authorisation regime of indoor global navigation satellite system (GNSS) pseudolites in the band 1559-1610 MHz";"http://docdb.cept.org/download/1803"
"ECC Recommendations";"ECC/REC/(11)06";"FM22";"2016-10-17";"Active";"ECC Recommendation of 21 October 2011 Block Edge Mask Compliance Measurements for Base Stations.

Latest amended on 17 October 2016. ";"http://docdb.cept.org/download/1805"
"ECC Recommendations";"ECC/REC/(11)05";"ECC PT1";"2017-02-03";"Active";"ECC Recommendation of 26 May 2011 on cross-border Coordination for Mobile/Fixed Communications Networks (MFCN) in the frequency band 2500-2690 MHz.

Amended on 3 February 2017.";"http://docdb.cept.org/download/1806"
"ECC Recommendations";"ECC/REC/(11)04";"ECC PT1";"2017-02-03";"Active";"ECC Recommendation of 26 May 2011 on cross-border Coordination for Mobile/Fixed Communications Networks (MFCN) in the frequency band 790-862 MHz";"http://docdb.cept.org/download/1808"
"ECC Recommendations";"ECC/REC/(11)03";"WGNaN";"2011-05-12";"Active";"ECC Recommendation of 12 May 2011 on numbering and Addressing for Machine-to-Machine (M2M) communications";"http://docdb.cept.org/download/1811"
"ECC Recommendations";"ECC/REC/(11)02";"WGNaN";"2011-05-12";"Withdrawn";"ECC Recommendation of 12 May 2011 on calling Line Identification and Originating Identification";"http://docdb.cept.org/download/1813"
